semester,drift on-time,drift late,drift all students,similarity
2013/1,,,,0.8452882766723633
2013/2,0.03270589932799339,0.1509583294391632,0.30046388506889343,0.8036617636680603
2014/1,0.03187279403209686,0.18726584315299988,0.27725255489349365,0.7960912585258484
2014/2,0.0352192223072052,0.2133624106645584,0.288027286529541,0.7535138130187988
2015/1,0.04347436502575874,0.1954672485589981,0.3102495074272156,0.7777471542358398
2015/2,0.03961411863565445,0.187547966837883,0.2914314568042755,0.7787995338439941
2016/1,0.035992544144392014,0.17901624739170074,0.301210880279541,0.7787952423095703
2016/2,0.039188485592603683,0.1822969615459442,0.2921615242958069,0.7373977303504944
2017/1,0.0440916046500206,0.1914036124944687,0.28614571690559387,0.7511906027793884
2017/2,0.05374787002801895,0.18105414509773254,0.28685322403907776,0.7695762515068054
2018/1,0.04993294179439545,0.15952356159687042,0.28016775846481323,0.7663135528564453
2018/2,0.02584123983979225,0.16456937789916992,0.26551854610443115,0.8230066299438477
2019/1,0.02325579896569252,0.1300085335969925,0.2798931896686554,0.8544079661369324
2019/2,0.029611028730869293,0.12077852338552475,0.2599022388458252,0.8661989569664001
2020/1,0.024089988321065903,0.10362383723258972,0.2549784183502197,0.8902888894081116
2020/2,0.017307722941040993,0.07904905825853348,0.3001324236392975,0.9190338850021362
2021/1,0.013108340092003345,0.07216865569353104,0.2836626172065735,0.9299663305282593
2021/2,0.011735500767827034,0.060265909880399704,0.27436763048171997,0.9066756367683411
2022/1,0.013394836336374283,0.06917909532785416,0.2660870850086212,0.917786717414856
2022/2,0.011032127775251865,0.06535013020038605,0.26316800713539124,0.9609405994415283
