log,dim,loss,std
BPIC11,2,284925.375,0.0
BPIC11,4,219416.34375,0.0
BPIC11,8,185572.84375,0.0
BPIC11,16,167356.671875,0.0
BPIC11,32,156035.96875,0.0
BPIC11,64,152436.6875,0.0
BPIC11,128,152381.8125,0.0
