log,dim,loss,std
BPIC18_D4e_D6b,2,1658819.25,0.0
BPIC18_D4e_D6b,4,1352223.125,0.0
BPIC18_D4e_D6b,8,1212796.5,0.0
BPIC18_D4e_D6b,16,1182821.125,0.0
BPIC18_D4e_D6b,32,1179397.75,0.0
BPIC18_D4e_D6b,64,1178928.25,0.0
BPIC18_D4e_D6b,128,1179410.25,0.0
